queue_type,msg_bytes,producers,consumers,ops,pinned,numa_nodes,iters,median_mops,min_mops,max_mops,stddev_mops
spsc_lockfree,8,1,1,2000000,1,2,5,12.86,10.34,19.96,4.303
mutex_spsc,8,1,1,2000000,1,2,5,5.17,5.16,5.20,0.016
mpmc_lockfree,8,1,1,2000000,1,2,5,27.80,19.40,33.46,5.385
mutex_mpmc,8,1,1,2000000,1,2,5,5.97,5.79,6.00,0.084
spsc_lockfree,64,1,1,2000000,1,2,5,5.08,5.08,5.11,0.010
mutex_spsc,64,1,1,2000000,1,2,5,3.36,3.23,3.51,0.127
mpmc_lockfree,64,1,1,2000000,1,2,5,10.04,9.81,10.19,0.146
mutex_mpmc,64,1,1,2000000,1,2,5,3.46,3.32,3.55,0.097
spsc_lockfree,256,1,1,2000000,1,2,5,4.16,4.15,4.18,0.016
mutex_spsc,256,1,1,2000000,1,2,5,1.86,1.75,1.93,0.065
mpmc_lockfree,256,1,1,2000000,1,2,5,22.99,22.33,23.61,0.485
mutex_mpmc,256,1,1,2000000,1,2,5,1.92,1.86,1.95,0.033
mpmc_lockfree,8,2,2,2000000,1,2,5,6.24,6.16,6.36,0.083
mutex_mpmc,8,2,2,2000000,1,2,5,2.93,2.90,3.03,0.058
mpmc_lockfree,64,2,2,2000000,1,2,5,5.60,5.44,5.66,0.086
mutex_mpmc,64,2,2,2000000,1,2,5,1.41,1.36,1.43,0.028
mpmc_lockfree,256,2,2,2000000,1,2,5,7.52,7.41,7.58,0.064
mutex_mpmc,256,2,2,2000000,1,2,5,0.77,0.76,0.77,0.005
mpmc_lockfree,8,4,4,2000000,1,2,5,3.45,3.43,3.45,0.011
mutex_mpmc,8,4,4,2000000,1,2,5,2.15,2.14,2.17,0.014
mpmc_lockfree,64,4,4,2000000,1,2,5,3.14,3.12,3.16,0.015
mutex_mpmc,64,4,4,2000000,1,2,5,0.98,0.93,0.99,0.023
mpmc_lockfree,256,4,4,2000000,1,2,5,3.65,3.54,3.66,0.053
mutex_mpmc,256,4,4,2000000,1,2,5,0.61,0.61,0.61,0.003
mpmc_lockfree,8,6,6,2000000,1,2,5,3.18,3.17,3.19,0.007
mutex_mpmc,8,6,6,2000000,1,2,5,1.70,1.69,1.72,0.009
mpmc_lockfree,64,6,6,2000000,1,2,5,4.57,4.54,4.58,0.014
mutex_mpmc,64,6,6,2000000,1,2,5,0.83,0.81,0.84,0.011
mpmc_lockfree,256,6,6,2000000,1,2,5,3.86,3.85,3.87,0.007
mutex_mpmc,256,6,6,2000000,1,2,5,0.59,0.58,0.59,0.002
