queue_type,msg_bytes,producers,consumers,ops,pinned,numa_nodes,iters,median_mops,min_mops,max_mops,stddev_mops
spsc_lockfree,8,1,1,2000000,1,1,5,85.84,57.79,88.03,12.688
mutex_spsc,8,1,1,2000000,1,1,5,5.18,5.17,5.22,0.018
mpmc_lockfree,8,1,1,2000000,1,1,5,68.60,60.51,71.21,4.885
mutex_mpmc,8,1,1,2000000,1,1,5,5.26,5.24,5.34,0.043
mpmc_lockfree,8,2,1,2000000,1,1,5,10.01,9.97,10.09,0.043
mutex_mpmc,8,2,1,2000000,1,1,5,4.30,4.25,4.36,0.042
mpmc_lockfree,8,1,2,2000000,1,1,5,10.45,8.89,10.80,0.759
mutex_mpmc,8,1,2,2000000,1,1,5,4.46,4.41,4.68,0.110
mpmc_lockfree,8,2,2,2000000,1,1,5,8.23,7.98,8.65,0.245
mutex_mpmc,8,2,2,2000000,1,1,5,4.64,4.61,4.72,0.042
mpmc_lockfree,8,4,4,2000000,1,1,5,7.81,7.79,7.83,0.014
mutex_mpmc,8,4,4,2000000,1,1,5,3.12,3.09,3.14,0.022
mpmc_lockfree,8,6,6,2000000,1,1,5,5.62,5.62,5.64,0.009
mutex_mpmc,8,6,6,2000000,1,1,5,3.26,3.26,3.29,0.015
mpmc_lockfree,8,8,8,2000000,1,1,5,4.94,4.94,4.94,0.003
mutex_mpmc,8,8,8,2000000,1,1,5,2.37,2.35,2.39,0.017
mpmc_lockfree,8,12,12,2000000,1,1,5,3.60,3.52,3.84,0.152
mutex_mpmc,8,12,12,2000000,1,1,5,2.17,2.15,2.19,0.013
spsc_lockfree,64,1,1,2000000,1,1,5,17.69,17.56,17.78,0.078
mutex_spsc,64,1,1,2000000,1,1,5,3.67,3.61,3.73,0.049
mpmc_lockfree,64,1,1,2000000,1,1,5,57.63,57.47,57.83,0.143
mutex_mpmc,64,1,1,2000000,1,1,5,3.76,3.70,3.79,0.035
mpmc_lockfree,64,2,1,2000000,1,1,5,9.46,9.43,9.46,0.015
mutex_mpmc,64,2,1,2000000,1,1,5,3.03,2.99,3.05,0.026
mpmc_lockfree,64,1,2,2000000,1,1,5,14.72,13.57,14.79,0.546
mutex_mpmc,64,1,2,2000000,1,1,5,2.60,2.54,2.73,0.085
mpmc_lockfree,64,2,2,2000000,1,1,5,8.89,8.77,8.94,0.076
mutex_mpmc,64,2,2,2000000,1,1,5,2.61,2.53,2.65,0.043
mpmc_lockfree,64,4,4,2000000,1,1,5,6.57,6.57,6.58,0.004
mutex_mpmc,64,4,4,2000000,1,1,5,1.94,1.92,1.95,0.011
mpmc_lockfree,64,6,6,2000000,1,1,5,5.84,5.82,5.85,0.009
mutex_mpmc,64,6,6,2000000,1,1,5,1.76,1.73,1.77,0.015
mpmc_lockfree,64,8,8,2000000,1,1,5,5.40,5.39,5.41,0.009
mutex_mpmc,64,8,8,2000000,1,1,5,1.45,1.43,1.47,0.017
mpmc_lockfree,64,12,12,2000000,1,1,5,3.68,3.61,3.75,0.053
mutex_mpmc,64,12,12,2000000,1,1,5,1.40,1.40,1.43,0.014
spsc_lockfree,256,1,1,2000000,1,1,5,10.66,7.77,13.22,2.415
mutex_spsc,256,1,1,2000000,1,1,5,2.56,2.55,2.60,0.017
mpmc_lockfree,256,1,1,2000000,1,1,5,30.75,30.69,30.79,0.039
mutex_mpmc,256,1,1,2000000,1,1,5,2.60,2.58,2.60,0.010
mpmc_lockfree,256,2,1,2000000,1,1,5,10.38,10.29,10.48,0.082
mutex_mpmc,256,2,1,2000000,1,1,5,1.72,1.70,1.74,0.016
mpmc_lockfree,256,1,2,2000000,1,1,5,15.05,15.02,15.10,0.032
mutex_mpmc,256,1,2,2000000,1,1,5,1.42,1.41,1.50,0.040
mpmc_lockfree,256,2,2,2000000,1,1,5,9.09,9.05,9.17,0.044
mutex_mpmc,256,2,2,2000000,1,1,5,1.50,1.49,1.52,0.013
mpmc_lockfree,256,4,4,2000000,1,1,5,6.87,6.85,6.90,0.017
mutex_mpmc,256,4,4,2000000,1,1,5,1.17,1.16,1.18,0.008
mpmc_lockfree,256,6,6,2000000,1,1,5,5.54,5.53,5.54,0.005
mutex_mpmc,256,6,6,2000000,1,1,5,1.13,1.11,1.16,0.019
mpmc_lockfree,256,8,8,2000000,1,1,5,5.50,5.50,5.50,0.004
mutex_mpmc,256,8,8,2000000,1,1,5,0.94,0.93,0.96,0.010
mpmc_lockfree,256,12,12,2000000,1,1,5,3.71,3.65,3.77,0.048
mutex_mpmc,256,12,12,2000000,1,1,5,0.88,0.88,0.89,0.005
