queue_type,msg_bytes,producers,consumers,ops,pinned,numa_nodes,iters,median_mops,min_mops,max_mops,stddev_mops
spsc_lockfree,8,1,1,2000000,0,0,5,58.05,55.99,67.79,5.646
mutex_spsc,8,1,1,2000000,0,0,5,4.35,4.03,4.94,0.368
mpmc_lockfree,8,1,1,2000000,0,0,5,25.31,22.79,29.82,2.876
mutex_mpmc,8,1,1,2000000,0,0,5,4.75,4.49,5.14,0.241
mpmc_lockfree,8,2,1,2000000,0,0,5,6.77,3.92,7.82,1.473
mutex_mpmc,8,2,1,2000000,0,0,5,3.01,1.81,3.10,0.551
mpmc_lockfree,8,1,2,2000000,0,0,5,7.85,7.65,7.96,0.121
mutex_mpmc,8,1,2,2000000,0,0,5,2.60,2.13,2.93,0.372
mpmc_lockfree,8,2,2,2000000,0,0,5,5.78,3.88,6.57,1.098
mutex_mpmc,8,2,2,2000000,0,0,5,2.40,2.34,3.10,0.319
mpmc_lockfree,8,4,4,2000000,0,0,5,3.52,3.43,3.57,0.068
mutex_mpmc,8,4,4,2000000,0,0,5,1.88,1.81,1.95,0.049
mpmc_lockfree,8,6,6,2000000,0,0,5,3.14,3.04,3.15,0.052
mutex_mpmc,8,6,6,2000000,0,0,5,1.67,1.65,1.68,0.009
mpmc_lockfree,8,8,8,2000000,0,0,5,2.84,2.77,2.86,0.035
mutex_mpmc,8,8,8,2000000,0,0,5,1.61,1.57,1.65,0.028
mpmc_lockfree,8,12,12,2000000,0,0,5,2.67,2.61,2.69,0.040
mutex_mpmc,8,12,12,2000000,0,0,5,1.48,1.45,1.50,0.020
spsc_lockfree,64,1,1,2000000,0,0,5,17.49,15.32,20.02,1.848
mutex_spsc,64,1,1,2000000,0,0,5,3.30,2.14,4.46,0.965
mpmc_lockfree,64,1,1,2000000,0,0,5,38.92,25.09,44.04,7.740
mutex_mpmc,64,1,1,2000000,0,0,5,3.76,2.94,4.27,0.566
mpmc_lockfree,64,2,1,2000000,0,0,5,6.48,6.43,8.46,1.005
mutex_mpmc,64,2,1,2000000,0,0,5,1.39,1.38,1.41,0.014
mpmc_lockfree,64,1,2,2000000,0,0,5,5.44,3.27,5.60,1.094
mutex_mpmc,64,1,2,2000000,0,0,5,1.51,1.28,1.59,0.121
mpmc_lockfree,64,2,2,2000000,0,0,5,6.84,3.81,7.08,1.384
mutex_mpmc,64,2,2,2000000,0,0,5,1.35,1.23,1.56,0.139
mpmc_lockfree,64,4,4,2000000,0,0,5,4.13,3.94,4.26,0.122
mutex_mpmc,64,4,4,2000000,0,0,5,0.99,0.98,1.01,0.012
mpmc_lockfree,64,6,6,2000000,0,0,5,3.78,3.76,3.89,0.052
mutex_mpmc,64,6,6,2000000,0,0,5,0.87,0.85,0.88,0.011
mpmc_lockfree,64,8,8,2000000,0,0,5,3.46,3.42,3.56,0.052
mutex_mpmc,64,8,8,2000000,0,0,5,0.83,0.82,0.86,0.016
mpmc_lockfree,64,12,12,2000000,0,0,5,2.95,2.93,2.99,0.028
mutex_mpmc,64,12,12,2000000,0,0,5,0.80,0.79,0.81,0.008
spsc_lockfree,256,1,1,2000000,0,0,5,10.58,6.00,12.19,3.004
mutex_spsc,256,1,1,2000000,0,0,5,2.53,1.18,2.59,0.626
mpmc_lockfree,256,1,1,2000000,0,0,5,25.74,13.45,26.44,6.844
mutex_mpmc,256,1,1,2000000,0,0,5,2.59,2.43,2.61,0.077
mpmc_lockfree,256,2,1,2000000,0,0,5,4.98,3.79,7.87,1.929
mutex_mpmc,256,2,1,2000000,0,0,5,1.63,1.54,1.78,0.091
mpmc_lockfree,256,1,2,2000000,0,0,5,11.19,5.67,11.56,3.057
mutex_mpmc,256,1,2,2000000,0,0,5,1.34,1.24,1.40,0.064
mpmc_lockfree,256,2,2,2000000,0,0,5,6.82,5.38,7.57,0.945
mutex_mpmc,256,2,2,2000000,0,0,5,0.92,0.88,1.21,0.132
mpmc_lockfree,256,4,4,2000000,0,0,5,6.12,5.21,6.74,0.581
mutex_mpmc,256,4,4,2000000,0,0,5,0.81,0.68,0.91,0.091
mpmc_lockfree,256,6,6,2000000,0,0,5,4.91,4.12,6.08,0.776
mutex_mpmc,256,6,6,2000000,0,0,5,0.85,0.71,0.96,0.096
mpmc_lockfree,256,8,8,2000000,0,0,5,5.53,4.25,5.61,0.568
mutex_mpmc,256,8,8,2000000,0,0,5,0.80,0.79,0.87,0.035
mpmc_lockfree,256,12,12,2000000,0,0,5,3.90,3.88,4.02,0.055
mutex_mpmc,256,12,12,2000000,0,0,5,0.70,0.68,0.77,0.037
